File,Whisper Output,Correct Transcription,Cosine Similarity,Transcription Time
10_words_sample_1.wav, Can you provide details on admission deadlines for Arabic Academy?,Can you provide details on admission deadlines for Arab Academy?,0.8200207392821179,0.28110218048095703
10_words_sample_2.wav, I need help registering for courses at the hour of academy.,I need help registering for courses at the Arab Academy.,0.7327068970668787,0.3011033535003662
10_words_sample_3.wav, What are the available scholarships for students at Arabic Academy?,What are the available scholarships for students at Arab Academy?,0.8200207392821179,0.28004026412963867
10_words_sample_4.wav, How can I transfer credits to the Arab Academy programme?,How can I transfer credits to the Arab Academy program?,0.8019783064439235,0.2844538688659668
10_words_sample_5.wav, Could you explain the tuition fees for programs at Arabic Academy?,Could you explain the tuition fees for programs at Arab Academy?,0.8350499057520979,0.32635021209716797
20_words_sample_1.wav, I am interested in applying to the Arab Academy and need information regarding admission requirements and deadlines for international students.,I am interested in applying to the Arab Academy and need information regarding admission requirements and deadlines for international students.,1.0000000000000004,0.41391420364379883
20_words_sample_2.wav, Could you please provide details about the scholarship available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,0.9176098101125715,0.42072606086730957
20_words_sample_3.wav," I have questions about transferring credits from another university to the Arab Academy, especially for courses in the Computer Science Department.","I have questions about transferring credits from another university to the Arab Academy, especially for courses in the computer science department.",0.9999999999999997,0.40528249740600586
20_words_sample_4.wav," I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.","I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.",0.9999999999999997,0.3864927291870117
20_words_sample_5.wav, Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,1.0000000000000002,0.3689577579498291
30_words_sample_1.wav," I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs.","I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs.",0.9999999999999997,0.5063700675964355
30_words_sample_2.wav," Could you provide a detailed breakdown of tuition costs at the Arab Academy, including any additional fees for accommodation textbooks and lab equipment for science and technology courses?","Could you provide a detailed breakdown of tuition costs at the Arab Academy, including any additional fees for accommodation, textbooks, and lab equipment for science and technology courses?",0.9999999999999994,0.47180938720703125
30_words_sample_3.wav," I want to transfer credits from another institution to the Arab Academy and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.","I want to transfer credits from another institution to the Arab Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.",1.0000000000000002,0.5451765060424805
30_words_sample_4.wav," I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty expertise, and campus services they offer.","I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty expertise, and campus services they offer.",1.0000000000000002,0.538325309753418
30_words_sample_5.wav," Can you explain how the Arab Academy's online learning programs are structured, particularly how assessments and exams are conducted for students who are pursuing degrees remotely?","Can you explain how the Arab Academy's online learning programs are structured, particularly how assessments and exams are conducted for students who are pursuing degrees remotely?",1.0,0.49208521842956543
40_words_sample_1.wav," I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.","I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.",1.0000000000000002,0.5470099449157715
40_words_sample_2.wav," Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures and eligibility criteria for international applicants?","Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures and eligibility criteria for international applicants?",1.0000000000000007,0.5833730697631836
40_words_sample_3.wav," I need assistance with transferring my credits from another university to the Arab Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program requirements.","I need assistance with transferring my credits from another university to the Arab Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.",1.0000000000000004,0.6274793148040771
40_words_sample_4.wav," Can you explain how the registration process works for new students at the Arab Academy, including any important dates as you keep in mind, and whether there are orientation sessions that I need to attend before class to start?","Can you explain how the registration process works for new students at the Arab Academy, including any important dates I should keep in mind and whether there are orientation sessions that I need to attend before classes start?",0.886902127097022,0.6481401920318604
40_words_sample_5.wav," I would like to know more about the various engineering specializations offered at the Arab Academy, including the curriculum details and potential career paths that graduates typically pursue after competing their degrees in these fields.","I would like to know more about the various engineering specializations offered at the Arab Academy, including the curriculum details and potential career paths that graduates typically pursue after completing their degrees in these fields.",0.9517921621255228,0.5209167003631592
50_words_sample_1.wav," I am planning to apply to the Arabic Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.","I am planning to apply to the Arab Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.",0.9596667938208485,0.8309922218322754
50_words_sample_2.wav," Could you please provide a comprehensive overview of the scholarship available at the Arab Academy for undergraduate students? I am particularly interested in eligibility criteria, application procedures and deadlines, especially for international students who wish to pursue the views and engineering or business.","Could you please provide a comprehensive overview of the scholarships available at the Arab Academy for undergraduate students? I am particularly interested in eligibility criteria, application procedures, and deadlines, especially for international students who wish to pursue degrees in engineering or business.",0.8970997795210484,0.714439868927002
50_words_sample_3.wav," I need assistance regarding the process of transferring credits from my previous university to the Arab Academy. Specifically, I would like to know the required documentation and how the evaluation process works to ensure my prior courses are recognized by your institution.","I need assistance regarding the process of transferring credits from my previous university to the Arab Academy. Specifically, I would like to know the required documentation and how the evaluation process works to ensure my prior courses are recognized by your institution.",1.0000000000000002,0.717963695526123
50_words_sample_4.wav," Can you explain the registration process for new students at the Arab Academy? I would like to know the important dates to keep in mind, as well as any orientation session that I need to attend before the start of classes.","Can you explain the registration process for new students at the Arab Academy? I would like to know the important dates to keep in mind, as well as any orientation sessions that I need to attend before the start of classes.",0.9670642562761174,0.6926548480987549
50_words_sample_5.wav," I am very interested in learning more about the various engineering specializations offered at the Arab Academy. Could you provide detailed information about the curriculum, faculty, and potential career parts that graduates typically follow after completing their degrees in those fields?","I am very interested in learning more about the various engineering specializations offered at the Arab Academy. Could you provide detailed information about the curriculum, faculty, and potential career paths that graduates typically follow after completing their degrees in those fields?",0.9612492535896059,0.7402987480163574
