File,Whisper Output,Correct Transcription,Cosine Similarity,Transcription Time
10_words_sample_with_pause_1.wav," Could you, er, tell me what documents are needed for admission to the Arab Academy?","Could you, uhm, tell me what documents are needed for admission to the Arab Academy?",0.8763511049989043,1.3753209114074707
10_words_sample_with_pause_2.wav, Can you explain the process for applying for scholarships at Arab Academy?,"Can you explain, uhh, the process for applying for scholarships at Arab Academy?",0.9361362641191208,1.171865701675415
10_words_sample_with_pause_3.wav," What should I do, ahem, if I want to change my major at Arab Academy?","What should I do, uhm, if I want to change my major at Arab Academy?",0.8586557982260813,1.5039780139923096
10_words_sample_with_pause_4.wav, Is there any orientation for new students at Arab Academy?,"Is there, uhh, any orientation for new students at Arab Academy?",0.9138106509294462,1.088089942932129
10_words_sample_with_pause_5.wav," How do I get in touch with an academic advisor, a hum, at Arab Academy?","How do I get in touch with an academic advisor, uhm, at Arab Academy?",0.8586557982260813,1.389284610748291
20_words_sample_with_pause_1.wav, I am interested in applying to the Arab Academy and need information about admission requirements and deadlines for international students.,"I am, uhm, interested in applying to the Arab Academy and, uh, need information about admission requirements and deadlines for international students.",0.9174208172605055,1.5717957019805908
20_words_sample_with_pause_2.wav," Could you please provide details about the scholarships available at the Arab Academy for Undergraduate Students pursuing a HAM, Engineering and Business degrees?","Could you please provide, uhh, details about the scholarships available at the Arab Academy for undergraduate students pursuing, uhm, engineering and business degrees?",0.8865178039130657,1.7313697338104248
20_words_sample_with_pause_3.wav," I have, uh, uh, questions about transferring credits from another university to the Arab academy, uh, especially for courses in the computer science department.","I have, uhm, questions about transferring credits from another university to the Arab Academy, uhh, especially for courses in the computer science department.",0.6847420931950151,1.9876840114593506
20_words_sample_with_pause_4.wav," I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrolment.","I would like, uhh, assistance with registering for courses at the Arab Academy, specifically regarding important dates and, uhm, required documents for enrollment.",0.844311107293146,1.8016881942749023
20_words_sample_with_pause_5.wav," Can you explain the differences between UH, the engineering specializations at the Arab Academy and the career opportunities available for graduates?","Can you explain the differences between, uhm, the engineering specializations at the Arab Academy and the, uhh, career opportunities available for graduates?",0.9156187182426057,1.7243890762329102
30_words_sample_with_pause_1.wav," I'm considering applying to the Arab Academy, aham, but I'd like to know more about the specific entry requirements, deadlines and the exams required for their engineering and business programs, especially for international students.","I'm considering applying to the Arab Academy, uhm, but I'd like to know more about the specific entry requirements, uhh, deadlines, and the exams required for their engineering and business programs, especially for international students.",0.935751204688267,2.8344199657440186
30_words_sample_with_pause_2.wav," Could you provide a detailed breakdown of tuition costs at the Arab Academy, including additional fees for accommodation, textbooks and lab equipment for science and technology courses, as well as any available payment plans?","Could you provide a detailed, uhm, breakdown of tuition costs at the Arab Academy, uhh, including additional fees for accommodation, textbooks, and lab equipment for science and technology courses, as well as any available payment plans?",0.9529000740006429,2.7676000595092773
