File,Whisper Output,Correct Transcription,Cosine Similarity,Transcription Time
10_words_sample_with_pause_1.wav, Could you? A hum. Tell me what documents are needed for admission to the Arab Academy.,"Could you, uhm, tell me what documents are needed for admission to the Arab Academy?",0.8763511049989043,0.40790629386901855
10_words_sample_with_pause_2.wav, Can you explain the process for applying for scholarships at Arabic Academy?,"Can you explain, uhh, the process for applying for scholarships at Arab Academy?",0.8159466395833364,0.31995677947998047
10_words_sample_with_pause_3.wav, What should I do? If I want to change my major at Arabic Academy.,"What should I do, uhm, if I want to change my major at Arab Academy?",0.7897746636343571,0.3500711917877197
10_words_sample_with_pause_4.wav, Is there any orientation for new students at Air Academy?,"Is there, uhh, any orientation for new students at Arab Academy?",0.7548969126692827,0.29971814155578613
10_words_sample_with_pause_5.wav," How do I get in touch with an academic advisor, a hum, at Arabic Academy?","How do I get in touch with an academic advisor, uhm, at Arab Academy?",0.7357532581618298,0.3839738368988037
20_words_sample_with_pause_1.wav, I am interested in applying to the Arabic Academy and meeting information about admission requirements and deadlines for international students.,"I am, uhm, interested in applying to the Arab Academy and, uh, need information about admission requirements and deadlines for international students.",0.7646612896138453,0.39893245697021484
20_words_sample_with_pause_2.wav, Could you please provide details about the scholarship available at the Erbil Academy for undergraduate students pursuing? Uh... Engineering and business degrees?,"Could you please provide, uhh, details about the scholarships available at the Arab Academy for undergraduate students pursuing, uhm, engineering and business degrees?",0.7527911376203761,0.48630332946777344
20_words_sample_with_pause_3.wav," I have questions about transferring credits from another university to the Arabic Academy, especially for courses in the Computer Science Department.","I have, uhm, questions about transferring credits from another university to the Arab Academy, uhh, especially for courses in the computer science department.",0.8443111072931462,0.42426419258117676
20_words_sample_with_pause_4.wav," I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.","I would like, uhh, assistance with registering for courses at the Arab Academy, specifically regarding important dates and, uhm, required documents for enrollment.",0.9207401897413279,0.3984248638153076
20_words_sample_with_pause_5.wav, Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,"Can you explain the differences between, uhm, the engineering specializations at the Arab Academy and the, uhh, career opportunities available for graduates?",0.9434557355986908,0.41463589668273926
30_words_sample_with_pause_1.wav," I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs, especially for international students.","I'm considering applying to the Arab Academy, uhm, but I'd like to know more about the specific entry requirements, uhh, deadlines, and the exams required for their engineering and business programs, especially for international students.",0.9570031271204875,0.5974011421203613
30_words_sample_with_pause_2.wav," Could you provide a detailed break down of tuition costs at the Arab Academy, including additional fees for accommodation textbooks and lab equipment for science and technology courses, as well as any available payment plans?","Could you provide a detailed, uhm, breakdown of tuition costs at the Arab Academy, uhh, including additional fees for accommodation, textbooks, and lab equipment for science and technology courses, as well as any available payment plans?",0.8852243749150964,0.5435447692871094
30_words_sample_with_pause_3.wav," I want to transfer credits from another institution to the Arabic Academy and I need to understand how the process works, including which courses are eligible for transfer and the documentation. That's needed.","I want to, uhm, transfer credits from another institution to the Arab Academy, uhh, and I need to understand how the process works, including which courses are eligible for transfer and the documentation, uhm, that's needed.",0.87315163973972,0.5793099403381348
30_words_sample_with_pause_4.wav," I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the facilities, faculty expertise, and the services each campus provides to students.","I'm trying to decide which campus of the Arab Academy, uhm, would be the best option for me, and I need more details about the facilities, uhh, faculty expertise, and the services each campus provides to students.",0.9633821924939665,0.5983610153198242
