File,Whisper Output,Correct Transcription,Cosine Similarity,Transcription Time
10_words_sample_1.wav, Can you provide details on admission deadlines for Arabic Academy?,Can you provide details on admission deadlines for Arab Academy?,0.8200207392821179,0.3081703186035156
10_words_sample_2.wav, I need help registering for courses at the area of academy.,I need help registering for courses at the Arab Academy.,0.7327068970668787,0.29172825813293457
10_words_sample_3.wav, What are the available scholarships for students at Air of Academy?,What are the available scholarships for students at Arab Academy?,0.7548969126692832,0.3261270523071289
10_words_sample_4.wav, How can I transfer credits to the air of the Cadden Program?,How can I transfer credits to the Arab Academy program?,0.6057821124011689,0.3261270523071289
10_words_sample_5.wav, could you explain the tuition fees for programs that are the academy?,Could you explain the tuition fees for programs at Arab Academy?,0.6957682205812495,0.3274409770965576
20_words_sample_1.wav, I am interested in applying to the Arab Academy and the Information Regarding Admissions Requirements and Bedlines for International Students.,I am interested in applying to the Arab Academy and need information regarding admission requirements and deadlines for international students.,0.777638092992167,0.46575236320495605
20_words_sample_2.wav, Could you please provide details about the scholarships available at the Arabic Academy for undergraduate students pursuing engineering and business degrees?,Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,0.9176098101125715,0.4040963649749756
20_words_sample_3.wav," I have questions about transferring credits from another university to the Arab Academy, especially for courses in the Computer Science Department.","I have questions about transferring credits from another university to the Arab Academy, especially for courses in the computer science department.",0.9999999999999997,0.44118189811706543
20_words_sample_4.wav," I would like assistance with registering for courses at the Arabic Academy, specifically regarding important dates and required documents for enrollment.","I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.",0.9140237818768355,0.43284058570861816
20_words_sample_5.wav," can you explain the differences between the engineering specializations of the air, the cattling, and the career opportunities available for graduates?",Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,0.8425171022472526,0.45806264877319336
30_words_sample_1.wav," I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements deadlines, and the exams required for their engineering and business programs.","I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs.",0.9999999999999997,0.5390987396240234
30_words_sample_2.wav," could you provide a detailed breakdown of tuition costs at the Air of the Cádemone, including any additional fees for accommodation textbooks and lab equipment for science and technology courses.","Could you provide a detailed breakdown of tuition costs at the Arab Academy, including any additional fees for accommodation, textbooks, and lab equipment for science and technology courses?",0.865310894407875,0.5568115711212158
30_words_sample_3.wav," I want to transfer credits from another institution to the Arabic Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.","I want to transfer credits from another institution to the Arab Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.",0.957949585902739,0.5679879188537598
30_words_sample_4.wav," I'm trying to decide which campus in the era of academy would be the best option for me and I need more details about the different facilities, faculty expertise, and campus services they offer.","I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty expertise, and campus services they offer.",0.9312798333111255,0.5784523487091064
30_words_sample_5.wav," can explain how the air the catamines online in programs are structured, particularly how assessments and exams are conducted for students who are per se in this.","Can you explain how the Arab Academy's online learning programs are structured, particularly how assessments and exams are conducted for students who are pursuing degrees remotely?",0.6339698900735429,0.5241057872772217
40_words_sample_1.wav," I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exam that I need to prepare for.","I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.",0.9505862224808107,0.6123616695404053
40_words_sample_2.wav," Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures and eligibility criteria for international applicants?","Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures and eligibility criteria for international applicants?",1.0000000000000007,0.5844354629516602
40_words_sample_3.wav," I need assistance with transferring my credits from another university to the Air of Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.","I need assistance with transferring my credits from another university to the Arab Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.",0.937115075236842,0.5969831943511963
40_words_sample_4.wav," Can you explain how the registration process works for you students at the area of academy, including any important dates I should keep in mind, and whether there are orientation sessions that I need to attend before classes start?","Can you explain how the registration process works for new students at the Arab Academy, including any important dates I should keep in mind and whether there are orientation sessions that I need to attend before classes start?",0.8932124717876111,0.6295897960662842
40_words_sample_5.wav," I would like to know more about the various engineering specializations offered at the Eurob Academy, including the curriculum, details and potential career paths that graduates typically pursue after completing their degrees in New Zealand.","I would like to know more about the various engineering specializations offered at the Arab Academy, including the curriculum details and potential career paths that graduates typically pursue after completing their degrees in these fields.",0.861948539531223,0.6371421813964844
50_words_sample_1.wav," I am planning to apply to the Arabic Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.","I am planning to apply to the Arab Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.",0.9596667938208485,0.662947416305542
50_words_sample_2.wav," could you please provide a comprehensive overview of the scholarship available at the hour of Academy for Undergraduate Students. I am particularly interested in eligibility criteria, application procedures and deadlines, especially for international students who wish to pursue degrees in engineering or business.","Could you please provide a comprehensive overview of the scholarships available at the Arab Academy for undergraduate students? I am particularly interested in eligibility criteria, application procedures, and deadlines, especially for international students who wish to pursue degrees in engineering or business.",0.9138849322853705,0.691859245300293
