File,Whisper Output,Correct Transcription,Cosine Similarity,Transcription Time
10_words_sample_with_pause_1.wav, Could you tell me what documents are needed for admission to the air began?,"Could you, uhm, tell me what documents are needed for admission to the Arab Academy?",0.7096597996236947,0.3829166889190674
10_words_sample_with_pause_2.wav, Can you explain the process for applying for scholarships at Arab Academy?,"Can you explain, uhh, the process for applying for scholarships at Arab Academy?",0.9361362641191208,0.34644460678100586
10_words_sample_with_pause_3.wav, What should I do if I want to change my major at Ariba County?,"What should I do, uhm, if I want to change my major at Arab Academy?",0.670886800175419,0.4258582592010498
10_words_sample_with_pause_4.wav, Is there any orientation for new students at Arab Academy?,"Is there, uhh, any orientation for new students at Arab Academy?",0.9138106509294462,0.34894871711730957
10_words_sample_with_pause_5.wav, How do I get in touch with an academic advisor at Arabic Academy?,"How do I get in touch with an academic advisor, uhm, at Arab Academy?",0.7897746636343571,0.39943885803222656
20_words_sample_with_pause_1.wav, I am interested in applying to the Arab Academy and need information about admission requirements and deadlines for international students.,"I am, uhm, interested in applying to the Arab Academy and, uh, need information about admission requirements and deadlines for international students.",0.9174208172605055,0.4829535484313965
20_words_sample_with_pause_2.wav, Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,"Could you please provide, uhh, details about the scholarships available at the Arab Academy for undergraduate students pursuing, uhm, engineering and business degrees?",0.9238026005035378,0.47597217559814453
20_words_sample_with_pause_3.wav," I have a home questions about transferring credits from another university to the Arab Academy, especially for courses in the computer science department.","I have, uhm, questions about transferring credits from another university to the Arab Academy, uhh, especially for courses in the computer science department.",0.8819950021951505,0.5347588062286377
20_words_sample_with_pause_4.wav," I would like assistance with registering for courses at the AIRB Academy, specifically regarding important dates and require documents for a moment.","I would like, uhh, assistance with registering for courses at the Arab Academy, specifically regarding important dates and, uhm, required documents for enrollment.",0.7081966203775014,0.5256388187408447
20_words_sample_with_pause_5.wav, Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,"Can you explain the differences between, uhm, the engineering specializations at the Arab Academy and the, uhh, career opportunities available for graduates?",0.9434557355986908,0.5200271606445312
30_words_sample_with_pause_1.wav," I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs, especially for international students.","I'm considering applying to the Arab Academy, uhm, but I'd like to know more about the specific entry requirements, uhh, deadlines, and the exams required for their engineering and business programs, especially for international students.",0.9570031271204875,0.7213864326477051
30_words_sample_with_pause_2.wav," Could you provide a detailed breakdown of tuition costs at the Arab Academy, including additional fees for accommodation, textbooks, and lab equipment for science and technology courses, as well as any available payment plans?","Could you provide a detailed, uhm, breakdown of tuition costs at the Arab Academy, uhh, including additional fees for accommodation, textbooks, and lab equipment for science and technology courses, as well as any available payment plans?",0.9529000740006429,0.7481443881988525
30_words_sample_with_pause_3.wav," I want to transfer credits from another institution to the Arab Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation. That's needed.","I want to, uhm, transfer credits from another institution to the Arab Academy, uhh, and I need to understand how the process works, including which courses are eligible for transfer and the documentation, uhm, that's needed.",0.9090376755159724,0.7257630825042725
